"Table 1. Per Capita Personal Income by County, 2012 - 2014",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period2,,
,Dollars,,,Rank in State,Percent change,,Rank in State
Dawson,"34,168","35,358","36,801",24,3.5,4.1,49
Decatur,"32,429","33,611","33,052",40,3.6,-1.7,148
DeKalb,"41,923","42,541","44,261",9,1.5,4.0,54
Dodge,"25,781","25,759","26,643",130,-0.1,3.4,87
Dooly,"22,448","21,741","20,853",157,-3.1,-4.1,154
Dougherty,"30,773","30,880","31,889",59,0.3,3.3,91
Douglas,"30,221","30,547","31,791",63,1.1,4.1,50
Early,"36,818","36,457","34,862",29,-1.0,-4.4,155
Echols,"24,884","24,293","24,828",147,-2.4,2.2,115
Effingham,"34,831","35,430","36,108",25,1.7,1.9,117
Elbert,"29,305","30,416","31,716",66,3.8,4.3,39
Emanuel,"26,727","27,170","27,430",126,1.7,1.0,134
Evans,"28,239","28,887","29,906",93,2.3,3.5,80
Fannin,"28,024","28,582","30,036",92,2.0,5.1,13
Fayette,"50,978","51,436","53,548",2,0.9,4.1,48
Floyd,"31,881","32,448","33,705",34,1.8,3.9,61
Forsyth,"45,876","46,990","48,837",5,2.4,3.9,58
Franklin,"30,965","32,552","33,990",31,5.1,4.4,33
Fulton,"63,134","61,778","64,174",1,-2.1,3.9,60
Gilmer,"27,648","28,609","30,288",87,3.5,5.9,7
Glascock,"25,668","25,852","27,016",129,0.7,4.5,28
Glynn,"37,080","37,503","38,341",19,1.1,2.2,113
Gordon,"28,192","29,669","30,872",77,5.2,4.1,53
Grady,"28,810","29,355","29,754",95,1.9,1.4,127
Greene,"42,397","42,891","44,552",8,1.2,3.9,62
Gwinnett,"33,596","34,029","35,374",27,1.3,4.0,57
Habersham,"26,475","27,948","29,133",104,5.6,4.2,42
Hall,"33,453","34,297","35,491",26,2.5,3.5,81
Hancock,"23,629","24,504","26,399",132,3.7,7.7,2
Haralson,"29,557","29,871","31,007",76,1.1,3.8,67
Harris,"42,390","42,895","44,842",7,1.2,4.5,25
Hart,"28,180","29,606","31,508",70,5.1,6.4,3
Heard,"25,531","25,908","27,145",128,1.5,4.8,18
Henry,"31,818","32,430","33,779",33,1.9,4.2,46
Houston,"37,724","37,624","38,852",17,-0.3,3.3,92
Irwin,"27,971","29,217","27,286",127,4.5,-6.6,158
Jackson,"31,724","33,576","34,982",28,5.8,4.2,45
Jasper,"29,136","29,963","31,851",61,2.8,6.3,4
Jeff Davis,"27,607","29,269","30,501",82,6.0,4.2,44
Jefferson,"29,298","29,286","29,652",98,0.0,1.2,129
Jenkins,"24,903","24,970","24,598",149,0.3,-1.5,146
Johnson,"21,486","22,283","22,915",155,3.7,2.8,104
Jones,"31,185","31,880","32,923",43,2.2,3.3,90
Lamar,"27,785","28,326","29,204",102,1.9,3.1,96
Lanier,"22,469","22,764","23,625",152,1.3,3.8,70
Laurens,"30,364","31,046","31,860",60,2.2,2.6,105
Lee,"39,502","39,815","40,795",14,0.8,2.5,107
Liberty,"31,232","32,072","32,448",53,2.7,1.2,131
Lincoln,"31,193","31,341","32,755",48,0.5,4.5,26
Long,"21,758","21,940","22,221",156,0.8,1.3,128
Lowndes,"31,261","31,955","33,067",39,2.2,3.5,82
Lumpkin,"27,804","29,069","30,397",85,4.5,4.6,24
McDuffie,"29,941","30,790","32,120",57,2.8,4.3,36
McIntosh,"24,103","23,994","24,529",150,-0.5,2.2,114
Macon,"25,457","27,145","28,745",111,6.6,5.9,6
Madison,"29,216","30,852","32,201",56,5.6,4.4,34
Marion,"23,556","23,991","24,768",148,1.8,3.2,94
Meriwether,"28,802","29,485","30,836",78,2.4,4.6,22
Miller,"35,297","35,604","33,510",36,0.9,-5.9,157
Mitchell,"30,087","30,546","30,209",89,1.5,-1.1,143
Monroe,"35,738","36,682","37,942",21,2.6,3.4,86
Montgomery,"25,764","25,731","25,577",142,-0.1,-0.6,142
Morgan,"39,408","40,115","41,919",11,1.8,4.5,29
Murray,"24,207","25,038","26,057",137,3.4,4.1,51
Muscogee,"37,275","36,744","38,400",18,-1.4,4.5,27
Newton,"27,301","27,918","28,920",108,2.3,3.6,78
Oconee,"48,315","48,991","50,679",3,1.4,3.4,85
Oglethorpe,"29,616","30,888","32,459",52,4.3,5.1,14
Paulding,"29,983","30,368","31,713",67,1.3,4.4,32
Peach,"30,756","32,001","32,760",47,4.0,2.4,110
Pickens,"37,239","38,352","39,730",15,3.0,3.6,77
Pierce,"29,750","30,256","30,771",80,1.7,1.7,122
Pike,"30,730","31,521","32,819",45,2.6,4.1,47
Polk,"27,224","27,158","28,366",115,-0.2,4.4,31
Pulaski,"25,253","25,552","25,591",141,1.2,0.2,136
Putnam,"31,628","32,223","33,978",32,1.9,5.4,11
Quitman,"23,550","24,934","25,888",139,5.9,3.8,65
Rabun,"31,462","32,674","33,638",35,3.9,3.0,100
Randolph,"32,819","33,663","32,429",55,2.6,-3.7,153
Richmond,"31,436","31,637","32,549",50,0.6,2.9,102
Rockdale,"30,236","30,285","31,440",71,0.2,3.8,66
Schley,"25,037","25,236","25,887",140,0.8,2.6,106
Screven,"27,801","27,189","28,003",119,-2.2,3.0,98
Seminole,"31,411","31,625","31,016",75,0.7,-1.9,149
Spalding,"28,760","29,174","30,264",88,1.4,3.7,75
Stephens,"31,095","32,353","34,121",30,4.0,5.5,10
Stewart,"21,411","23,883","23,070",154,11.5,-3.4,152
Sumter,"29,406","29,397","29,745",97,0.0,1.2,130
Talbot,"27,549","28,475","29,746",96,3.4,4.5,30
Taliaferro,"23,598","23,882","26,127",136,1.2,9.4,1
Tattnall,"26,750","27,468","28,371",114,2.7,3.3,89
Taylor,"24,534","24,628","25,385",143,0.4,3.1,97
Telfair,"17,892","17,540","18,443",158,-2.0,5.1,12
Terrell,"37,082","38,394","38,307",20,3.5,-0.2,140
Thomas,"36,447","36,330","36,983",23,-0.3,1.8,121
Tift,"30,636","31,744","32,964",42,3.6,3.8,63
Toombs,"30,396","31,298","31,801",62,3.0,1.6,123
Towns,"29,933","30,271","30,739",81,1.1,1.5,124
Treutlen,"24,044","24,752","25,226",144,2.9,1.9,116
Troup,"31,904","32,059","33,267",38,0.5,3.8,71
Turner,"31,073","32,597","31,630",68,4.9,-3.0,150
Twiggs,"29,744","30,160","31,104",74,1.4,3.1,95
Union,"31,016","31,910","33,044",41,2.9,3.6,79
Upson,"29,338","29,419","30,815",79,0.3,4.7,19
Walker,"26,964","27,242","28,266",116,1.0,3.8,72
Walton,"30,845","31,428","32,767",46,1.9,4.3,41
Ware,"28,375","28,851","29,851",94,1.7,3.5,84
Warren,"27,353","27,636","28,434",113,1.0,2.9,101
Washington,"30,039","29,498","30,159",90,-1.8,2.2,112
Wayne,"29,300","29,692","30,144",91,1.3,1.5,125
Webster,"26,310","26,074","26,571",131,-0.9,1.9,118
Wheeler,"15,328","15,799","15,787",159,3.1,-0.1,137
White,"27,356","28,027","29,232",100,2.5,4.3,38
Whitfield,"29,815","31,402","32,435",54,5.3,3.3,88
Wilcox,"25,130","25,670","24,861",146,2.1,-3.2,151
Wilkes,"27,319","28,028","29,628",99,2.6,5.7,9
Wilkinson,"27,882","28,558","30,335",86,2.4,6.2,5
Worth,"30,895","30,885","30,433",83,0.0,-1.5,145
,,,,,,,
Hawaii,"44,504","44,314","46,034",--,-0.4,3.9,--
Hawaii,"33,219","33,567","34,870",4,1.0,3.9,3
Honolulu,"48,165","47,877","49,722",1,-0.6,3.9,4
Kauai,"37,936","38,323","40,163",2,1.0,4.8,1
Maui + Kalawao,"38,240","37,831","39,439",3,-1.1,4.3,2
,,,,,,,
Idaho,"34,846","35,641","36,734",--,2.3,3.1,--
Ada,"41,643","42,407","43,738",3,1.8,3.1,18
Adams,"31,326","32,787","33,999",20,4.7,3.7,14
Bannock,"30,255","30,972","32,063",30,2.4,3.5,16
Bear Lake,"33,674","34,495","35,842",15,2.4,3.9,11
Benewah,"30,504","31,061","31,805",32,1.8,2.4,30
Bingham,"31,645","32,495","32,166",29,2.7,-1.0,39
Blaine,"76,790","80,348","83,573",1,4.6,4.0,10
Boise,"32,481","33,771","35,044",16,4.0,3.8,12
Bonner,"32,655","33,093","33,786",25,1.3,2.1,31
Bonneville,"38,198","37,872","38,518",8,-0.9,1.7,32
Boundary,"27,703","29,340","29,769",40,5.9,1.5,34
Butte,"32,963","34,643","34,119",19,5.1,-1.5,40
Camas,"31,434","32,209","31,448",35,2.5,-2.4,41
Canyon,"26,123","26,273","26,968",42,0.6,2.6,26
Caribou,"36,917","37,430","38,507",9,1.4,2.9,22
Cassia,"35,570","40,243","41,492",7,13.1,3.1,19
Clark,"24,790","30,727","23,832",43,23.9,-22.4,44
Clearwater,"30,449","31,563","32,487",28,3.7,2.9,21
Custer,"39,807","40,824","43,158",4,2.6,5.7,5
Elmore,"30,937","32,359","33,907",21,4.6,4.8,8
Franklin,"28,070","28,506","29,941",39,1.6,5.0,7
Fremont (includes Yellowstone National Park),"29,009","32,212","31,964",31,11.0,-0.8,38
Gem,"28,172","29,950","30,937",36,6.3,3.3,17
Gooding,"46,168","47,925","57,168",2,3.8,19.3,1
Idaho,"28,534","30,520","31,804",33,7.0,4.2,9
Jefferson,"28,552","29,425","30,142",38,3.1,2.4,28
Jerome,"33,114","34,288","37,198",11,3.5,8.5,4
Kootenai,"34,832","35,637","36,656",13,2.3,2.9,23
Latah,"32,822","33,679","34,244",18,2.6,1.7,33
Lemhi,"33,900","34,427","36,210",14,1.6,5.2,6
Lewis,"42,945","45,699","42,219",6,6.4,-7.6,43
Lincoln,"31,429","34,188","37,734",10,8.8,10.4,2
Madison,"20,954","21,662","21,779",44,3.4,0.5,37
Minidoka,"32,957","33,562","33,795",24,1.8,0.7,36
Nez Perce,"35,095","35,828","36,744",12,2.1,2.6,27
Oneida,"30,075","29,993","30,802",37,-0.3,2.7,24
Owyhee,"28,822","29,004","31,741",34,0.6,9.4,3
Payette,"31,770","32,593","33,802",23,2.6,3.7,13
Power,"34,610","34,629","32,654",27,0.1,-5.7,42
Shoshone,"33,222","32,789","33,665",26,-1.3,2.7,25
Teton,"28,443","27,932","28,763",41,-1.8,3.0,20
Twin Falls,"32,235","33,348","34,545",17,3.5,3.6,15
Valley,"41,733","41,397","42,397",5,-0.8,2.4,29
Washington,"31,435","33,579","33,870",22,6.8,0.9,35
,,,,,,,
Illinois,"46,067","46,477","47,643",--,0.9,2.5,--
Adams,"38,729","39,022","39,285",45,0.8,0.7,37
Alexander,"26,647","27,894","28,746",100,4.7,3.1,14
Bond,"30,884","31,626","32,967",92,2.4,4.2,1
Boone,"38,376","38,622","39,377",42,0.6,2.0,27
Brown,"25,652","28,862","26,648",102,12.5,-7.7,99
Bureau,"37,189","40,544","38,576",53,9.0,-4.9,84
Calhoun,"33,951","34,487","35,708",71,1.6,3.5,3
Carroll,"37,807","41,045","39,543",41,8.6,-3.7,79
Cass,"33,466","37,622","36,951",62,12.4,-1.8,69
Champaign,"36,491","36,990","38,035",57,1.4,2.8,17
Christian,"35,378","37,782","36,538",68,6.8,-3.3,75
Clark,"34,996","39,126","39,340",43,11.8,0.5,39
Clay,"34,183","37,984","36,386",69,11.1,-4.2,82
Clinton,"38,870","40,660","41,527",29,4.6,2.1,24
Coles,"32,655","33,980","34,122",84,4.1,0.4,41
Cook,"49,734","49,683","51,280",3,-0.1,3.2,10
Crawford,"36,713","38,600","39,166",47,5.1,1.5,30
Cumberland,"35,442","41,347","39,324",44,16.7,-4.9,85
DeKalb,"33,454","34,561","34,679",79,3.3,0.3,44
De Witt,"39,762","43,969","41,688",28,10.6,-5.2,89
Douglas,"39,299","44,108","43,450",16,12.2,-1.5,65
DuPage,"58,958","58,724","60,684",2,-0.4,3.3,6
Edgar,"35,949","41,295","39,045",48,14.9,-5.4,90
Edwards,"32,749","35,589","32,867",93,8.7,-7.6,98
Effingham,"40,356","42,013","43,462",15,4.1,3.4,4
Fayette,"28,709","31,570","29,836",99,10.0,-5.5,91
Ford,"43,074","49,234","47,595",5,14.3,-3.3,76
Franklin,"31,478","32,442","32,715",94,3.1,0.8,34
Fulton,"32,674","33,646","33,186",90,3.0,-1.4,64
Gallatin,"38,062","47,795","42,743",21,25.6,-10.6,101
Greene,"32,464","35,687","34,521",81,9.9,-3.3,74
Grundy,"40,559","42,983","42,868",19,6.0,-0.3,48
Hamilton,"36,135","44,189","40,904",34,22.3,-7.4,96
Hancock,"36,740","40,979","41,294",32,11.5,0.8,36
Hardin,"31,419","32,937","33,435",88,4.8,1.5,29
Henderson,"35,724","41,826","38,335",55,17.1,-8.3,100
Henry,"40,238","42,494","42,008",24,5.6,-1.1,62
Iroquois,"39,359","43,209","40,307",36,9.8,-6.7,95
Jackson,"31,317","32,215","32,675",95,2.9,1.4,32
Jasper,"38,400","44,356","42,100",23,15.5,-5.1,88
Jefferson,"34,359","35,688","36,878",63,3.9,3.3,7
Jersey,"34,364","35,976","35,586",73,4.7,-1.1,61
Jo Daviess,"41,442","44,931","44,164",13,8.4,-1.7,68
Johnson,"25,806","26,114","26,824",101,1.2,2.7,18
Kane,"41,016","41,561","42,868",19,1.3,3.1,12
Kankakee,"34,013","35,147","35,657",72,3.3,1.5,31
Kendall,"39,432","40,097","40,957",33,1.7,2.1,23
Knox,"35,980","36,602","36,280",70,1.7,-0.9,57
Lake,"64,155","63,240","65,329",1,-1.4,3.3,8
LaSalle,"37,010","38,381","38,524",54,3.7,0.4,42
Lawrence,"30,552","33,422","33,163",91,9.4,-0.8,54
Lee,"36,284","38,945","38,301",56,7.3,-1.7,66
Livingston,"37,448","41,826","38,685",52,11.7,-7.5,97
Logan,"31,331","36,561","34,127",83,16.7,-6.7,93
McDonough,"32,167","34,206","33,945",85,6.3,-0.8,53
McHenry,"44,735","45,242","46,720",8,1.1,3.3,9
McLean,"42,770","43,433","43,192",18,1.6,-0.6,49
Macon,"41,229","42,335","43,413",17,2.7,2.5,19
Macoupin,"33,774","36,049","35,451",75,6.7,-1.7,67
Madison,"38,329","38,811","39,942",38,1.3,2.9,16
Marion,"34,185","36,670","36,846",64,7.3,0.5,40
Marshall,"38,944","43,187","40,311",35,10.9,-6.7,94
Mason,"35,372","38,369","36,705",65,8.5,-4.3,83
Massac,"33,057","33,478","33,923",86,1.3,1.3,33
Menard,"37,692","41,564","39,944",37,10.3,-3.9,80
Mercer,"40,078","42,390","41,513",30,5.8,-2.1,71
Monroe,"48,695","48,437","50,171",4,-0.5,3.6,2
Montgomery,"30,919","34,983","33,234",89,13.1,-5.0,86
Morgan,"33,810","35,906","35,422",76,6.2,-1.3,63
Moultrie,"39,239","42,915","41,805",25,9.4,-2.6,73
Ogle,"38,112","40,279","39,870",39,5.7,-1.0,60
Peoria,"47,431","44,661","45,572",11,-5.8,2.0,25
Perry,"28,460","30,609","30,801",97,7.6,0.6,38
Piatt,"44,700","47,067","47,430",6,5.3,0.8,35
Pike,"33,223","38,699","37,363",60,16.5,-3.5,77
Pope,"29,458","28,865","29,850",98,-2.0,3.4,5
Pulaski,"33,069","35,491","34,197",82,7.3,-3.6,78
Putnam,"39,817","42,107","41,732",26,5.8,-0.9,58
Randolph,"30,541","31,333","32,011",96,2.6,2.2,22
Richland,"33,914","37,593","37,540",59,10.8,-0.1,46
Rock Island,"38,824","38,956","39,868",40,0.3,2.3,20
St. Clair,"37,180","37,597","38,717",51,1.1,3.0,15
Saline,"35,216","36,666","36,588",67,4.1,-0.2,47
Sangamon,"40,699","41,397","42,326",22,1.7,2.2,21
Schuyler,"38,509","44,940","44,588",12,16.7,-0.8,55
Scott,"33,935","36,508","35,034",77,7.6,-4.0,81
Shelby,"33,204","37,895","35,557",74,14.1,-6.2,92
Stark,"35,977","42,868","36,633",66,19.2,-14.5,102
Stephenson,"35,293","37,723","37,359",61,6.9,-1.0,59
Tazewell,"41,944","41,004","41,690",27,-2.2,1.7,28
Union,"32,792","34,029","33,805",87,3.8,-0.7,51
Vermilion,"33,753","35,048","35,009",78,3.8,-0.1,45
Wabash,"38,551","41,669","41,393",31,8.1,-0.7,52
Warren,"33,923","36,339","34,522",80,7.1,-5.0,87
Washington,"43,494","47,066","46,771",7,8.2,-0.6,50
Wayne,"35,655","39,659","38,863",50,11.2,-2.0,70
White,"42,172","46,761","45,748",9,10.9,-2.2,72
Whiteside,"38,261","39,040","39,174",46,2.0,0.3,43
Will,"41,990","42,506","43,864",14,1.2,3.2,11
Williamson,"37,629","38,185","38,946",49,1.5,2.0,26
Winnebago,"36,372","36,874","38,020",58,1.4,3.1,13
Woodford,"45,265","46,001","45,631",10,1.6,-0.8,56
,,,,,,,
Indiana,"37,987","38,291","39,578",--,0.8,3.4,--
Adams,"31,514","31,827","33,424",73,1.0,5.0,11
Allen,"38,370","38,085","39,712",25,-0.7,4.3,20
Bartholomew,"43,137","42,998","44,129",8,-0.3,2.6,55
Benton,"39,989","44,376","42,582",11,11.0,-4.0,92
Blackford,"33,798","34,476","34,809",62,2.0,1.0,77
Boone,"61,233","62,566","63,269",1,2.2,1.1,73
Brown,"38,205","38,215","39,598",27,0.0,3.6,34
Carroll,"37,649","39,232","39,616",26,4.2,1.0,76
Cass,"32,410","33,669","34,249",67,3.9,1.7,66
Clark,"36,725","36,393","37,610",39,-0.9,3.3,41
Clay,"32,341","33,608","34,329",66,3.9,2.1,62
Clinton,"32,762","33,107","34,116",68,1.1,3.0,48
Crawford,"28,949","28,887","30,623",88,-0.2,6.0,4
Daviess,"34,511","36,730","36,914",47,6.4,0.5,79
Dearborn,"39,459","40,389","42,008",12,2.4,4.0,24
Decatur,"35,807","37,785","38,480",34,5.5,1.8,65
DeKalb,"34,897","35,709","37,014",45,2.3,3.7,33
Delaware,"30,938","30,985","31,933",82,0.2,3.1,47
Dubois,"47,895","47,389","50,087",3,-1.1,5.7,7
Elkhart,"34,544","35,462","37,344",43,2.7,5.3,9
Fayette,"31,883","32,633","34,016",69,2.4,4.2,21
Floyd,"43,473","43,629","45,404",5,0.4,4.1,23
Fountain,"35,337","37,115","36,844",48,5.0,-0.7,82
Franklin,"37,940","38,659","39,129",30,1.9,1.2,70
Fulton,"35,506","36,438","35,903",54,2.6,-1.5,86
Gibson,"38,221","41,347","41,992",13,8.2,1.6,69
Grant,"34,339","34,539","35,547",58,0.6,2.9,51
Greene,"33,160","33,747","35,035",61,1.8,3.8,28
Hamilton,"60,343","61,349","63,141",2,1.7,2.9,50
Hancock,"43,120","42,928","43,860",9,-0.4,2.2,61
Harrison,"34,613","35,079","36,090",52,1.3,2.9,52
Hendricks,"41,392","41,978","42,945",10,1.4,2.3,58
Henry,"31,340","32,264","32,800",79,2.9,1.7,67
Howard,"34,185","34,577","35,728",57,1.1,3.3,42
Huntington,"34,761","35,619","36,507",51,2.5,2.5,57
Jackson,"37,470","37,425","38,733",32,-0.1,3.5,38
Jasper,"38,104","39,909","40,130",20,4.7,0.6,78
Jay,"33,895","36,029","38,169",37,6.3,5.9,5
Jefferson,"35,376","35,144","36,794",49,-0.7,4.7,14
Jennings,"31,002","31,382","32,563",80,1.2,3.8,30
Johnson,"40,505","40,777","41,899",14,0.7,2.8,53
Knox,"38,377","40,208","41,512",16,4.8,3.2,43
Kosciusko,"37,551","38,915","40,469",17,3.6,4.0,25
Lagrange,"27,833","29,396","31,081",87,5.6,5.7,6
Lake,"37,127","37,010","38,386",35,-0.3,3.7,32
LaPorte,"35,024","34,808","35,882",55,-0.6,3.1,46
Lawrence,"33,042","32,881","34,424",65,-0.5,4.7,15
Madison,"31,293","31,547","32,563",80,0.8,3.2,44
Marion,"39,247","38,755","40,074",21,-1.3,3.4,39
Marshall,"33,499","34,750","35,767",56,3.7,2.9,49
Martin,"34,285","35,040","38,333",36,2.2,9.4,1
Miami,"28,055","29,285","30,334",90,4.4,3.6,35
Monroe,"32,716","32,779","33,953",70,0.2,3.6,36
Montgomery,"33,461","35,534","35,039",60,6.2,-1.4,85
Morgan,"35,448","36,040","36,975",46,1.7,2.6,56
Newton,"34,153","37,004","37,390",42,8.3,1.0,74
Noble,"31,542","31,889","33,107",76,1.1,3.8,27
Ohio,"31,512","31,964","34,505",64,1.4,7.9,2
Orange,"31,454","31,529","32,893",78,0.2,4.3,19
Owen,"31,182","30,785","31,772",83,-1.3,3.2,45
Parke,"28,620","30,913","30,092",91,8.0,-2.7,89
Perry,"31,385","31,298","33,752",71,-0.3,7.8,3
Pike,"33,505","35,815","36,597",50,6.9,2.2,60
Porter,"43,411","42,943","44,472",7,-1.1,3.6,37
Posey,"41,189","44,278","44,806",6,7.5,1.2,71
Pulaski,"37,404","39,461","38,488",33,5.5,-2.5,88
Putnam,"29,562","31,861","31,565",85,7.8,-0.9,83
Randolph,"35,171","37,348","38,103",38,6.2,2.0,63
Ripley,"36,832","37,497","39,137",29,1.8,4.4,17
Rush,"34,375","39,368","38,764",31,14.5,-1.5,87
St. Joseph,"38,378","38,454","40,433",18,0.2,5.1,10
Scott,"29,984","30,385","31,623",84,1.3,4.1,22
Shelby,"35,956","37,391","37,528",40,4.0,0.4,80
Spencer,"36,535","39,127","39,772",24,7.1,1.6,68
Starke,"28,659","30,006","30,354",89,4.7,1.2,72
Steuben,"34,206","34,125","36,000",53,-0.2,5.5,8
Sullivan,"30,353","31,874","31,501",86,5.0,-1.2,84
Switzerland,"26,349","25,737","26,959",92,-2.3,4.7,13
Tippecanoe,"32,507","32,178","33,266",75,-1.0,3.4,40
Tipton,"37,735","38,597","40,049",22,2.3,3.8,31
Union,"30,160","33,971","32,933",77,12.6,-3.1,90
Vanderburgh,"40,522","38,305","40,135",19,-5.5,4.8,12
Vermillion,"33,291","35,132","35,496",59,5.5,1.0,75
Vigo,"32,949","32,670","33,567",72,-0.8,2.7,54
Wabash,"37,577","38,551","40,011",23,2.6,3.8,29
Warren,"39,037","43,165","41,703",15,10.6,-3.4,91
Warrick,"43,857","43,703","45,596",4,-0.4,4.3,18
Washington,"30,549","31,944","33,352",74,4.6,4.4,16
Wayne,"32,880","33,475","34,801",63,1.8,4.0,26
Wells,"36,733","38,404","39,244",28,4.5,2.2,59
White,"35,484","37,724","37,473",41,6.3,-0.7,81
Whitley,"35,619","36,409","37,099",44,2.2,1.9,64
,,,,,,,
Iowa,"43,458","43,735","44,937",--,0.6,2.7,--
Adair,"41,361","44,897","46,276",43,8.5,3.1,38
Adams,"58,326","59,887","60,829",1,2.7,1.6,63
Allamakee,"38,961","40,518","41,568",69,4.0,2.6,49
Appanoose,"33,199","34,180","35,713",96,3.0,4.5,14
Audubon,"49,789","56,770","55,516",5,14.0,-2.2,93
Benton,"44,713","46,242","46,422",41,3.4,0.4,79
Black Hawk,"38,883","38,686","39,769",72,-0.5,2.8,45
Boone,"42,842","44,037","44,461",54,2.8,1.0,73
Bremer,"43,468","43,675","44,316",55,0.5,1.5,65
Buchanan,"40,384","42,164","42,070",67,4.4,-0.2,84
Buena Vista,"45,827","48,212","49,724",23,5.2,3.1,31
Butler,"43,467","48,144","46,884",39,10.8,-2.6,94
Calhoun,"46,006","47,031","49,693",24,2.2,5.7,5
Carroll,"47,159","49,260","50,782",19,4.5,3.1,33
Cass,"40,478","43,527","44,620",53,7.5,2.5,50
Cedar,"44,852","45,968","46,138",45,2.5,0.4,80
Cerro Gordo,"45,232","44,806","46,395",42,-0.9,3.5,25
Cherokee,"56,464","53,498","52,647",13,-5.3,-1.6,91
Chickasaw,"52,745","53,967","54,289",7,2.3,0.6,75
Clarke,"33,126","35,145","37,563",93,6.1,6.9,3
Clay,"45,344","45,192","46,111",46,-0.3,2.0,57
Clayton,"44,176","44,753","44,955",50,1.3,0.5,77
Clinton,"38,313","39,455","39,208",80,3.0,-0.6,86
Crawford,"42,968","42,728","42,393",61,-0.6,-0.8,87
Dallas,"52,370","54,186","55,851",4,3.5,3.1,37
Davis,"32,670","33,946","35,320",98,3.9,4.0,18
Decatur,"30,183","31,462","33,039",99,4.2,5.0,7
Delaware,"43,225","46,046","48,169",32,6.5,4.6,13
Des Moines,"47,466","46,466","48,755",28,-2.1,4.9,9
Dickinson,"47,900","49,062","50,606",20,2.4,3.1,30
Dubuque,"41,255","41,676","43,167",59,1.0,3.6,23
Emmet,"40,876","41,588","41,714",68,1.7,0.3,82
Fayette,"37,142","38,552","39,372",78,3.8,2.1,54
Floyd,"39,000","41,016","42,131",66,5.2,2.7,47
Franklin,"50,431","53,311","54,037",8,5.7,1.4,69
Fremont,"45,832","47,695","46,159",44,4.1,-3.2,97
Greene,"47,592","48,115","49,487",25,1.1,2.9,43
Grundy,"50,206","50,885","50,238",22,1.4,-1.3,89
Guthrie,"43,569","46,830","48,233",31,7.5,3.0,42
Hamilton,"50,291","48,682","52,923",12,-3.2,8.7,1
Hancock,"50,378","52,810","53,874",9,4.8,2.0,58
Hardin,"48,785","47,459","48,404",30,-2.7,2.0,59
Harrison,"40,368","43,428","42,191",65,7.6,-2.8,95
Henry,"38,248","37,605","38,761",86,-1.7,3.1,35
Howard,"44,868","43,180","44,872",51,-3.8,3.9,19
Humboldt,"51,058","51,183","51,686",17,0.2,1.0,72
Ida,"49,977","49,982","49,036",26,0.0,-1.9,92
Iowa,"50,153","50,584","51,695",16,0.9,2.2,53
Jackson,"38,228","38,941","39,472",74,1.9,1.4,68
Jasper,"37,507","37,712","38,871",83,0.5,3.1,36
Jefferson,"37,023","37,581","38,852",84,1.5,3.4,27
Johnson,"43,724","44,036","45,218",48,0.7,2.7,48
Jones,"37,244","39,034","40,110",71,4.8,2.8,46
Keokuk,"42,375","45,017","46,771",40,6.2,3.9,20
Kossuth,"55,854","55,442","53,329",11,-0.7,-3.8,98
Lee,"34,960","35,097","37,610",92,0.4,7.2,2
Linn,"45,432","45,437","46,934",38,0.0,3.3,28
Louisa,"37,054","36,810","37,485",94,-0.7,1.8,61
Lucas,"35,343","37,213","39,045",81,5.3,4.9,10
Lyon,"56,698","59,063","59,955",2,4.2,1.5,64
Madison,"40,196","42,320","43,287",57,5.3,2.3,52
Mahaska,"36,495","38,029","38,830",85,4.2,2.1,55
Marion,"38,876","38,909","39,714",73,0.1,2.1,56
Marshall,"36,852","37,203","38,339",89,1.0,3.1,39
Mills,"47,729","49,489","47,975",33,3.7,-3.1,96
Mitchell,"53,176","49,410","51,813",15,-7.1,4.9,11
Monona,"39,211","46,329","43,927",56,18.2,-5.2,99
Monroe,"35,508","37,304","39,029",82,5.1,4.6,12
Montgomery,"38,492","39,946","39,429",76,3.8,-1.3,90
Muscatine,"43,759","44,413","45,801",47,1.5,3.1,32
O'Brien,"50,918","54,102","53,812",10,6.3,-0.5,85
Osceola,"46,621","50,354","50,321",21,8.0,-0.1,83
Page,"37,521","39,881","40,204",70,6.3,0.8,74
Palo Alto,"51,145","48,285","48,976",27,-5.6,1.4,66
Plymouth,"50,506","55,143","55,913",3,9.2,1.4,67
Pocahontas,"51,955","51,715","51,876",14,-0.5,0.3,81
Polk,"48,333","46,696","48,484",29,-3.4,3.8,22
Pottawattamie,"38,020","38,996","39,423",77,2.6,1.1,71
Poweshiek,"41,206","42,943","44,777",52,4.2,4.3,16
Ringgold,"38,573","43,298","45,124",49,12.2,4.2,17
Sac,"51,435","53,668","54,719",6,4.3,2.0,60
Scott,"47,269","46,321","47,637",35,-2.0,2.8,44
Shelby,"47,076","52,102","51,503",18,10.7,-1.1,88
Sioux,"44,080","45,567","47,192",37,3.4,3.6,24
Story,"38,798","36,586","37,990",91,-5.7,3.8,21
Tama,"42,179","42,056","42,266",63,-0.3,0.5,76
Taylor,"37,191","41,904","43,193",58,12.7,3.1,34
Union,"35,021","37,091","38,381",88,5.9,3.5,26
Van Buren,"33,741","35,774","36,646",95,6.0,2.4,51
Wapello,"34,523","34,420","35,516",97,-0.3,3.2,29
Warren,"40,387","41,087","42,326",62,1.7,3.0,41
