"Table 1. Per Capita Personal Income by County, 2012 - 2014",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period2,,
,Dollars,,,Rank in State,Percent change,,Rank in State
Wade Hampton Census Area,"27,588","26,491","28,762",29,-4.0,8.6,2
Wrangell City and Borough,"39,936","39,855","43,230",23,-0.2,8.5,3
Yakutat City and Borough,"43,300","44,877","45,364",19,3.6,1.1,29
Yukon-Koyukuk Census Area,"52,686","52,370","54,323",11,-0.6,3.7,28
,,,,,,,
Arizona,"36,788","36,723","37,895",--,-0.2,3.2,--
Apache,"26,689","27,271","28,521",12,2.2,4.6,1
Cochise,"35,468","35,402","36,720",5,-0.2,3.7,8
Coconino,"36,622","37,515","39,220",2,2.4,4.5,2
Gila,"32,666","33,491","34,463",6,2.5,2.9,14
Graham,"26,228","27,833","29,000",10,6.1,4.2,5
Greenlee,"33,982","36,251","37,431",3,6.7,3.3,12
La Paz,"28,344","28,255","29,219",9,-0.3,3.4,10
Maricopa,"40,424","40,003","41,222",1,-1.0,3.0,13
Mohave,"26,320","26,603","27,704",13,1.1,4.1,7
Navajo,"26,010","26,323","27,434",14,1.2,4.2,4
Pima,"35,838","35,855","37,031",4,0.0,3.3,11
Pinal,"24,151","24,818","25,846",15,2.8,4.1,6
Santa Cruz,"28,640","28,902","30,164",8,0.9,4.4,3
Yavapai,"31,016","31,623","32,774",7,2.0,3.6,9
Yuma,"27,617","28,897","28,742",11,4.6,-0.5,15
,,,,,,,
Arkansas,"36,291","36,529","37,782",--,0.7,3.4,--
Arkansas,"38,665","42,791","42,602",4,10.7,-0.4,68
Ashley,"31,962","33,022","32,540",35,3.3,-1.5,71
Baxter,"31,865","32,113","33,472",26,0.8,4.2,37
Benton,"67,832","67,372","68,773",1,-0.7,2.1,58
Boone,"30,599","30,857","32,498",36,0.8,5.3,27
Bradley,"30,220","30,288","32,578",34,0.2,7.6,9
Calhoun,"28,148","28,374","29,043",60,0.8,2.4,56
Carroll,"26,881","28,466","31,599",44,5.9,11.0,1
Chicot,"32,872","35,451","33,652",23,7.8,-5.1,74
Clark,"29,732","29,481","30,985",46,-0.8,5.1,28
Clay,"32,818","35,257","33,496",25,7.4,-5.0,73
Cleburne,"32,806","32,604","33,949",20,-0.6,4.1,38
Cleveland,"29,948","32,218","34,592",15,7.6,7.4,12
Columbia,"32,972","32,673","34,990",13,-0.9,7.1,15
Conway,"33,104","33,987","36,170",8,2.7,6.4,22
Craighead,"32,697","32,827","33,649",24,0.4,2.5,54
Crawford,"28,899","29,091","30,399",49,0.7,4.5,35
Crittenden,"31,193","32,653","33,335",28,4.7,2.1,57
Cross,"32,608","34,614","35,560",12,6.2,2.7,53
Dallas,"28,605","28,366","29,925",53,-0.8,5.5,26
Desha,"36,712","37,848","38,024",5,3.1,0.5,65
Drew,"32,962","33,802","34,243",17,2.5,1.3,60
Faulkner,"32,391","32,344","33,350",27,-0.1,3.1,48
Franklin,"27,563","27,867","30,317",51,1.1,8.8,5
Fulton,"24,854","25,207","26,991",70,1.4,7.1,16
Garland,"34,993","34,824","36,218",7,-0.5,4.0,40
Grant,"32,722","32,870","33,876",22,0.5,3.1,49
Greene,"29,556","30,259","30,549",48,2.4,1.0,64
Hempstead,"28,373","28,380","30,298",52,0.0,6.8,19
Hot Spring,"27,005","27,326","28,524",63,1.2,4.4,36
Howard,"27,412","29,591","32,232",38,7.9,8.9,4
Independence,"30,814","31,335","32,403",37,1.7,3.4,46
Izard,"26,747","27,353","28,371",64,2.3,3.7,43
Jackson,"27,426","29,408","29,730",55,7.2,1.1,63
Jefferson,"30,850","31,319","31,684",42,1.5,1.2,61
Johnson,"24,180","24,872","26,275",72,2.9,5.6,25
Lafayette,"30,599","33,317","35,706",10,8.9,7.2,13
Lawrence,"27,764","29,100","29,623",57,4.8,1.8,59
Lee,"27,774","30,799","28,088",65,10.9,-8.8,75
Lincoln,"23,053","25,227","25,195",75,9.4,-0.1,67
Little River,"29,972","30,359","32,148",39,1.3,5.9,23
Logan,"30,362","31,310","34,126",18,3.1,9.0,3
Lonoke,"33,908","34,506","34,897",14,1.8,1.1,62
Madison,"27,664","29,485","32,671",32,6.6,10.8,2
Marion,"25,185","26,734","28,069",66,6.2,5.0,29
Miller,"31,598","30,246","31,279",45,-4.3,3.4,45
Mississippi,"30,359","31,819","32,786",31,4.8,3.0,50
Monroe,"33,799","33,972","35,577",11,0.5,4.7,30
Montgomery,"25,138","26,533","27,765",68,5.5,4.6,32
Nevada,"31,424","31,197","32,620",33,-0.7,4.6,33
Newton,"24,171","24,321","25,991",73,0.6,6.9,18
