name,county_name,2014_fraction_above_65,2014_fraction_above_75,2014_fraction_above_85,2014_fraction_above_95,2015_fraction_above_65,2015_fraction_above_75,2015_fraction_above_85,2015_fraction_above_95,2016_fraction_above_65,2016_fraction_above_75,2016_fraction_above_85,2016_fraction_above_95
"Coffee, Alabama",Coffee,0.25,0.13,0.06,0.01,0.15,0.08,0.05,0,0.23,0.14,0.06,0.01
"Coffee, Georgia",Coffee,0.13,0.08,0.04,0,0.18,0.11,0.05,0.01,0.19,0.13,0.07,0.01
"Coffee, Tennessee",Coffee,0.22,0.15,0.09,0.02,0.44,0.27,0.13,0.02,0.35,0.22,0.12,0.02
"Coffey, Kansas",Coffey,0.08,0.04,0.01,0,0.05,0.02,0.01,0,0.03,0.02,0.01,0
"Coke, Texas",Coke,0.02,0.01,0,0,0.02,0.01,0,0,0.02,0.01,0,0
"Colbert, Alabama",Colbert,0.32,0.21,0.11,0.02,0.27,0.19,0.11,0.03,0.37,0.27,0.14,0.03
"Cole, Missouri",Cole,0.65,0.4,0.2,0.06,0.36,0.24,0.15,0.04,0.49,0.31,0.16,0.03
"Coleman, Texas",Coleman,0.01,0.01,0,0,0.01,0.01,0,0,0.01,0.01,0,0
"Coles, Illinois",Coles,0.59,0.35,0.17,0.03,0.52,0.3,0.15,0.03,0.32,0.2,0.09,0.02
"Colfax, Nebraska",Colfax,0.2,0.1,0.04,0,0.1,0.05,0.02,0,0.53,0.21,0.05,0
"Colfax, New Mexico",Colfax,0.01,0.01,0,0,0.01,0,0,0,0.01,0,0,0
"Colleton, South Carolina",Colleton,0.14,0.08,0.03,0,0.17,0.1,0.04,0,0.18,0.12,0.05,0
"Collier, Florida",Collier,0.17,0.14,0.11,0.03,0.16,0.14,0.11,0.03,0.18,0.15,0.12,0.04
"Collin, Texas",Collin,0.89,0.7,0.47,0.22,0.77,0.58,0.41,0.2,0.82,0.64,0.45,0.25
"Collingsworth, Texas",Collingsworth,0,0,0,0,0,0,0,0,0.01,0,0,0
"Colonial Heights, Virginia",Colonial Heights,1,1,1,0.5,1,1,1,0.56,1,1,1,0.54
"Colorado, Texas",Colorado,0.12,0.06,0.03,0,0.08,0.04,0.02,0,0.08,0.05,0.03,0
"Colquitt, Georgia",Colquitt,0.19,0.11,0.05,0,0.27,0.15,0.07,0,0.34,0.22,0.1,0.01
"Columbia, Arkansas",Columbia,0.16,0.1,0.05,0,0.22,0.12,0.05,0,0.2,0.12,0.05,0.01
"Columbia, Florida",Columbia,0.19,0.11,0.05,0,0.2,0.12,0.06,0,0.27,0.17,0.07,0.01
"Columbia, Georgia",Columbia,0.57,0.47,0.33,0.06,0.64,0.49,0.33,0.05,0.67,0.55,0.39,0.1
"Columbia, New York",Columbia,0.44,0.23,0.09,0.01,0.52,0.28,0.09,0,0.29,0.15,0.06,0
"Columbia, Oregon",Columbia,0.21,0.12,0.05,0,0.13,0.08,0.04,0,0.21,0.11,0.05,0
"Columbia, Pennsylvania",Columbia,0.59,0.3,0.11,0.02,0.55,0.28,0.12,0.02,0.48,0.25,0.1,0.02
"Columbia, Washington",Columbia,0.01,0,0,0,0,0,0,0,0,0,0,0
"Columbia, Wisconsin",Columbia,0.71,0.35,0.11,0.02,0.52,0.21,0.08,0.01,0.91,0.54,0.14,0.02
"Columbiana, Ohio",Columbiana,0.96,0.78,0.33,0.04,0.99,0.9,0.45,0.05,0.92,0.76,0.37,0.05
"Columbus, North Carolina",Columbus,0.2,0.11,0.04,0,0.28,0.14,0.05,0,0.31,0.17,0.06,0
"Colusa, California",Colusa,0.03,0.02,0.01,0,0.03,0.02,0.01,0,0.03,0.02,0.01,0
"Comal, Texas",Comal,0.66,0.42,0.2,0.03,0.52,0.34,0.17,0.03,0.62,0.44,0.24,0.05
"Comanche, Kansas",Comanche,0.01,0,0,-0.01,0.01,0,0,-0.01,0,0,0,0
"Comanche, Oklahoma",Comanche,0.41,0.25,0.12,0.03,0.33,0.18,0.09,0.02,0.28,0.18,0.1,0.03
"Comanche, Texas",Comanche,0.03,0.02,0.01,0,0.03,0.01,0.01,0,0.03,0.02,0.01,0
"Comer\xedo, Puerto Rico",Comer\xedo,0.89,0.73,0.33,0,0.85,0.64,0.24,0,0.94,0.84,0.36,0
"Concho, Texas",Concho,0.01,0,0,0,0,0,0,0,0,0,0,0
"Concordia, Louisiana",Concordia,0.07,0.05,0.03,0,0.05,0.03,0.02,0,0.08,0.05,0.03,0
"Conecuh, Alabama",Conecuh,0.12,0.07,0.04,0,0.09,0.06,0.03,0,0.13,0.08,0.05,0.01
"Conejos, Colorado",Conejos,0.01,0.01,0,0,0.01,0.01,0,0,0.02,0.01,0,0
"Contra Costa, California",Contra Costa,0.69,0.57,0.43,0.15,0.69,0.54,0.4,0.12,0.82,0.69,0.47,0.15
"Converse, Wyoming",Converse,0.06,0.03,0.02,0,0.07,0.04,0.02,0,0.05,0.03,0.01,0
"Conway, Arkansas",Conway,0.29,0.14,0.05,0,0.3,0.16,0.05,0,0.25,0.14,0.05,0
"Cook, Georgia",Cook,0.25,0.15,0.08,0.01,0.41,0.24,0.1,0.01,0.43,0.28,0.13,0.02
"Cook, Illinois",Cook,1,1,1,0.92,1,1,0.99,0.9,1,1,1,0.87
"Cook, Minnesota",Cook,0.01,0,0,0,0.01,0,0,0,0.01,0.01,0,0
"Cooke, Texas",Cooke,0.17,0.09,0.04,0,0.13,0.07,0.03,0,0.15,0.09,0.04,0.01
"Cooper, Missouri",Cooper,0.29,0.13,0.05,0.01,0.1,0.05,0.03,0,0.1,0.05,0.03,0
"Coos, New Hampshire",Coos,0.07,0.04,0.02,0,0.07,0.04,0.02,0,0.06,0.04,0.02,0
"Coos, Oregon",Coos,0.04,0.03,0.01,0,0.03,0.02,0.01,0,0.04,0.02,0.01,0
"Coosa, Alabama",Coosa,0.09,0.04,0.01,-0.01,0.06,0.02,0,-0.01,0.12,0.06,0.01,-0.01
"Copiah, Mississippi",Copiah,0.16,0.08,0.03,0,0.09,0.05,0.02,0,0.17,0.1,0.04,0
"Corozal, Puerto Rico",Corozal,0.89,0.78,0.45,0.01,0.86,0.71,0.32,0.01,0.93,0.84,0.5,0.01
"Corson, South Dakota",Corson,0,0,0,0,0,0,0,0,0,0,0,0
"Cortland, New York",Cortland,0.29,0.18,0.09,0.01,0.36,0.22,0.1,0.02,0.24,0.15,0.08,0.01
"Coryell, Texas",Coryell,0.13,0.09,0.05,0.01,0.1,0.07,0.04,0.01,0.12,0.08,0.06,0.01
"Coshocton, Ohio",Coshocton,0.41,0.2,0.07,0.01,0.67,0.33,0.09,0.01,0.42,0.21,0.06,0
"Costilla, Colorado",Costilla,0,0,0,-0.01,0.01,0,0,0,0.01,0,0,0
"Cottle, Texas",Cottle,0,0,0,0,0,0,0,-0.01,0,0,0,0
"Cotton, Oklahoma",Cotton,0.04,0.02,0.01,0,0.03,0.01,0.01,0,0.03,0.02,0.01,0
"Cottonwood, Minnesota",Cottonwood,0.18,0.06,0.03,0,0.05,0.02,0.01,0,0.52,0.16,0.04,0
"Covington, Alabama",Covington,0.13,0.07,0.03,0,0.08,0.05,0.02,0,0.12,0.07,0.04,0
"Covington, Mississippi",Covington,0.25,0.11,0.03,0,0.2,0.08,0.03,0,0.36,0.2,0.06,0.01
"Covington, Virginia",Covington,0.95,0.86,0.7,0.18,1,1,0.97,0.4,1,1,0.9,0.29
"Coweta, Georgia",Coweta,0.77,0.57,0.31,0.04,0.66,0.47,0.28,0.03,0.73,0.56,0.33,0.04
"Cowley, Kansas",Cowley,0.19,0.08,0.03,0,0.07,0.04,0.02,0,0.09,0.05,0.03,0
"Cowlitz, Washington",Cowlitz,0.13,0.09,0.05,0.01,0.1,0.06,0.04,0.01,0.15,0.09,0.04,0.01
"Craig, Oklahoma",Craig,0.13,0.06,0.02,0,0.11,0.05,0.02,0,0.1,0.04,0.02,0
"Craig, Virginia",Craig,0,0,0,-0.01,0.03,0.01,0,-0.01,0.01,0,0,-0.01
"Craighead, Arkansas",Craighead,0.58,0.39,0.22,0.05,0.4,0.28,0.17,0.04,0.39,0.28,0.17,0.04
"Crane, Texas",Crane,0.12,0.07,0.03,0,0.08,0.05,0.02,0,0.05,0.04,0.02,0
"Craven, North Carolina",Craven,0.3,0.2,0.12,0.02,0.3,0.2,0.12,0.02,0.34,0.24,0.14,0.03
"Crawford, Arkansas",Crawford,0.4,0.27,0.13,0.01,0.31,0.19,0.09,0.01,0.26,0.18,0.08,0.01
"Crawford, Georgia",Crawford,0.18,0.08,0.01,0,0.2,0.09,0.01,0,0.26,0.14,0.03,0
"Crawford, Illinois",Crawford,0.35,0.17,0.07,0.01,0.44,0.22,0.07,0.01,0.29,0.15,0.06,0.01
"Crawford, Indiana",Crawford,0.16,0.08,0.03,0,0.36,0.16,0.05,0,0.13,0.06,0.02,0
"Crawford, Iowa",Crawford,0.29,0.11,0.04,0.01,0.08,0.04,0.02,0,0.71,0.24,0.05,0
"Crawford, Kansas",Crawford,0.24,0.13,0.05,0,0.13,0.08,0.05,0,0.14,0.09,0.05,0
"Crawford, Michigan",Crawford,0.18,0.09,0.04,0,0.12,0.07,0.03,0,0.22,0.11,0.04,0
"Crawford, Missouri",Crawford,0.23,0.11,0.03,0,0.12,0.06,0.02,0,0.09,0.05,0.02,0
"Crawford, Ohio",Crawford,0.94,0.5,0.13,0.03,0.98,0.66,0.18,0.03,0.54,0.26,0.1,0.02
"Crawford, Pennsylvania",Crawford,0.69,0.4,0.13,0.01,0.71,0.35,0.11,0.01,0.52,0.25,0.09,0.01
"Crawford, Wisconsin",Crawford,0.19,0.09,0.04,0,0.13,0.06,0.03,0,0.26,0.11,0.05,0
"Creek, Oklahoma",Creek,0.45,0.26,0.12,0.01,0.43,0.24,0.11,0.01,0.33,0.21,0.1,0.01
"Crenshaw, Alabama",Crenshaw,0.12,0.05,0.02,0,0.08,0.04,0.01,0,0.14,0.07,0.02,0
"Crisp, Georgia",Crisp,0.27,0.17,0.1,0.02,0.31,0.19,0.1,0.02,0.32,0.21,0.12,0.03
"Crittenden, Arkansas",Crittenden,0.37,0.24,0.13,0.03,0.33,0.24,0.13,0.03,0.39,0.28,0.14,0.04
"Crittenden, Kentucky",Crittenden,0.14,0.07,0.02,0,0.26,0.11,0.03,0,0.1,0.05,0.02,0
"Crockett, Tennessee",Crockett,0.5,0.26,0.08,0.01,0.41,0.18,0.07,0,0.49,0.26,0.09,0.01
"Crockett, Texas",Crockett,0.05,0.03,0.01,0,0.03,0.02,0.01,0,0.01,0.01,0,0
"Crook, Oregon",Crook,0.01,0.01,0,0,0,0,0,0,0,0,0,0
"Crook, Wyoming",Crook,0.01,0.01,0,0,0.01,0,0,0,0.02,0.01,0,0
"Crosby, Texas",Crosby,0.03,0.01,0,0,0.02,0.01,0,0,0.02,0.01,0,0
"Cross, Arkansas",Cross,0.17,0.1,0.05,0,0.15,0.09,0.04,0,0.15,0.1,0.05,0
"Crow Wing, Minnesota",Crow Wing,0.27,0.16,0.07,0.01,0.26,0.13,0.06,0.01,0.43,0.22,0.08,0.01
"Crowley, Colorado",Crowley,0.07,0.04,0.02,0,0.02,0.01,0,0,0.01,0.01,0,0
"Culberson, Texas",Culberson,0.06,0.04,0.01,0,0.08,0.06,0.02,0,0.09,0.06,0.04,0.01
"Culebra, Puerto Rico",Culebra,0.12,0.09,0.05,-0.01,0.1,0.07,0.03,-0.01,0.12,0.09,0.05,-0.01
"Cullman, Alabama",Cullman,0.46,0.24,0.09,0.01,0.55,0.31,0.12,0.01,0.51,0.3,0.1,0.01
"Culpeper, Virginia",Culpeper,0.2,0.11,0.05,0.01,0.52,0.27,0.1,0.02,0.24,0.13,0.06,0.01
"Cumberland, Illinois",Cumberland,0.3,0.11,0.03,0,0.43,0.15,0.04,0,0.15,0.06,0.02,0
"Cumberland, Kentucky",Cumberland,0.01,0.01,0,0,0.07,0.02,0.01,0,0.03,0.01,0.01,0
"Cumberland, Maine",Cumberland,0.58,0.42,0.24,0.06,0.69,0.5,0.28,0.06,0.65,0.48,0.27,0.07
"Cumberland, New Jersey",Cumberland,0.56,0.43,0.27,0.05,0.7,0.58,0.38,0.09,0.69,0.53,0.32,0.07
"Cumberland, North Carolina",Cumberland,0.7,0.57,0.4,0.14,0.76,0.61,0.42,0.14,0.78,0.63,0.45,0.16
"Cumberland, Pennsylvania",Cumberland,0.78,0.65,0.41,0.13,0.83,0.7,0.4,0.12,0.86,0.76,0.48,0.14
"Cumberland, Tennessee",Cumberland,0.21,0.13,0.06,0,0.41,0.29,0.14,0.01,0.32,0.21,0.09,0.01
"Cumberland, Virginia",Cumberland,0.08,0.03,0.01,0,0.26,0.13,0.03,0,0.1,0.04,0.01,0
"Cuming, Nebraska",Cuming,0.15,0.07,0.02,0,0.04,0.02,0.01,0,0.42,0.14,0.03,0
"Currituck, North Carolina",Currituck,0.3,0.18,0.08,0,0.24,0.16,0.07,0,0.28,0.19,0.1,0
"Curry, New Mexico",Curry,0.17,0.12,0.07,0.01,0.09,0.06,0.04,0.01,0.09,0.06,0.04,0.01
"Curry, Oregon",Curry,0.01,0,0,0,0.01,0,0,0,0.01,0.01,0,0
"Custer, Colorado",Custer,0.01,0,0,0,0,0,0,0,0.01,0,0,0
"Custer, Idaho",Custer,0,0,0,0,0,0,0,0,0,0,0,0
"Custer, Montana",Custer,0.01,0,0,0,0,0,0,0,0,0,0,0
"Custer, Nebraska",Custer,0.02,0.01,0,0,0.01,0,0,0,0.03,0.01,0,0
"Custer, Oklahoma",Custer,0.23,0.12,0.05,0,0.12,0.07,0.04,0.01,0.1,0.06,0.04,0.01
"Custer, South Dakota",Custer,0.02,0.01,0,0,0.01,0,0,0,0.01,0.01,0,0
"Cuyahoga, Ohio",Cuyahoga,1,1,1,0.84,1,1,1,0.83,1,1,1,0.82
"Dade, Georgia",Dade,0.28,0.15,0.06,0,0.47,0.24,0.11,0,0.4,0.23,0.08,0.01
"Dade, Missouri",Dade,0.13,0.03,0.01,0,0.11,0.03,0.01,0,0.02,0.01,0,0
"Daggett, Utah",Daggett,0,0,0,0,0,0,0,0,0.01,0,0,0
"Dakota, Minnesota",Dakota,1,0.93,0.65,0.29,0.99,0.87,0.57,0.23,1,0.99,0.7,0.28
"Dakota, Nebraska",Dakota,0.48,0.31,0.16,0.04,0.26,0.16,0.09,0.02,0.85,0.65,0.41,0.05
"Dale, Alabama",Dale,0.42,0.27,0.13,0.01,0.29,0.19,0.09,0.01,0.38,0.26,0.14,0.01
"Dallam, Texas",Dallam,0.02,0.01,0,0,0.02,0.01,0,0,0.01,0.01,0,0
"Dallas, Alabama",Dallas,0.13,0.08,0.03,0,0.11,0.07,0.03,0,0.16,0.11,0.05,0.01
"Dallas, Arkansas",Dallas,0.03,0.02,0.01,0,0.03,0.02,0.01,0,0.03,0.02,0.01,0
"Dallas, Iowa",Dallas,0.84,0.58,0.29,0.05,0.49,0.27,0.12,0.03,0.91,0.68,0.25,0.05
"Dallas, Missouri",Dallas,0.37,0.12,0.01,0,0.25,0.11,0.02,0,0.07,0.02,0,0
"Dallas, Texas",Dallas,0.99,0.98,0.94,0.71,0.99,0.96,0.89,0.63,0.99,0.98,0.94,0.71
"Dane, Wisconsin",Dane,0.91,0.73,0.39,0.12,0.83,0.6,0.31,0.1,0.96,0.85,0.49,0.12
"Daniels, Montana",Daniels,0,0,0,0,0,0,0,0,0.01,0,0,0
"Danville, Virginia",Danville,1,0.98,0.9,0.24,1,0.98,0.92,0.43,0.99,0.97,0.89,0.29
"Dare, North Carolina",Dare,0.14,0.12,0.08,0.01,0.14,0.11,0.07,0,0.16,0.13,0.09,0.01
"Darke, Ohio",Darke,0.87,0.53,0.11,0.01,0.97,0.56,0.11,0.01,0.68,0.28,0.08,0.01
"Darlington, South Carolina",Darlington,0.49,0.35,0.18,0.02,0.58,0.37,0.17,0.01,0.56,0.4,0.21,0.02
"Dauphin, Pennsylvania",Dauphin,0.69,0.54,0.4,0.14,0.76,0.57,0.42,0.14,0.79,0.6,0.45,0.16
"Davidson, North Carolina",Davidson,0.79,0.63,0.32,0.03,0.86,0.74,0.45,0.04,0.85,0.71,0.39,0.04
"Davidson, Tennessee",Davidson,0.98,0.95,0.79,0.4,0.99,0.96,0.86,0.43,0.97,0.89,0.71,0.36
"Davie, North Carolina",Davie,0.54,0.3,0.12,0.01,0.8,0.46,0.15,0.01,0.77,0.47,0.17,0.01
"Daviess, Indiana",Daviess,0.41,0.2,0.07,0.01,0.48,0.23,0.09,0.02,0.35,0.15,0.06,0
"Daviess, Kentucky",Daviess,0.66,0.39,0.17,0.05,0.91,0.6,0.25,0.06,0.49,0.28,0.15,0.05
"Daviess, Missouri",Daviess,0.18,0.05,0.02,0,0.05,0.03,0.01,0,0.03,0.02,0,0
"Davis, Iowa",Davis,0.28,0.09,0.02,0,0.04,0.02,0.01,0,0.08,0.03,0.01,0
"Davis, Utah",Davis,0.52,0.42,0.3,0.09,0.3,0.23,0.19,0.05,0.53,0.39,0.26,0.1
"Davison, South Dakota",Davison,0.24,0.15,0.08,0.02,0.1,0.06,0.04,0.01,0.23,0.15,0.07,0.01
"Dawes, Nebraska",Dawes,0.03,0.02,0.01,0,0.01,0.01,0,0,0.01,0.01,0,0
"Dawson, Georgia",Dawson,0.29,0.19,0.08,0,0.31,0.2,0.08,0,0.33,0.22,0.1,0.01
"Dawson, Montana",Dawson,0.02,0.01,0.01,0,0.01,0.01,0,0,0.01,0.01,0,0
"Dawson, Nebraska",Dawson,0.23,0.11,0.04,0.01,0.05,0.03,0.02,0,0.14,0.07,0.03,0.01
"Dawson, Texas",Dawson,0.08,0.05,0.02,0,0.04,0.02,0.01,0,0.04,0.03,0.02,0
"Day, South Dakota",Day,0.04,0.02,0.01,0,0.03,0.01,0,0,0.05,0.02,0.01,0
"De Baca, New Mexico",De Baca,0,0,0,-0.01,0,0,0,0,0,0,0,0
"De Soto, Louisiana",De Soto,0.23,0.12,0.05,0,0.13,0.07,0.03,0,0.26,0.16,0.08,0
"De Witt, Illinois",De Witt,0.62,0.26,0.08,0.01,0.16,0.08,0.04,0,0.21,0.1,0.05,0
"DeKalb, Alabama",DeKalb,0.26,0.14,0.06,0,0.46,0.24,0.09,0,0.42,0.22,0.08,0
"DeKalb, Georgia",DeKalb,1,1,0.98,0.65,1,1,0.98,0.53,1,1,0.99,0.66
"DeKalb, Illinois",DeKalb,0.99,0.83,0.28,0.04,0.96,0.69,0.24,0.03,0.83,0.45,0.16,0.03
"DeKalb, Indiana",DeKalb,0.99,0.96,0.56,0.06,0.99,0.82,0.29,0.05,0.78,0.43,0.15,0.03
"DeKalb, Missouri",DeKalb,0.55,0.21,0.06,0.01,0.13,0.06,0.03,0,0.08,0.05,0.02,0
"DeKalb, Tennessee",DeKalb,0.12,0.07,0.03,0,0.35,0.18,0.06,0,0.26,0.12,0.05,0
"DeSoto, Florida",DeSoto,0.09,0.06,0.03,0,0.08,0.05,0.03,0,0.11,0.07,0.04,0
"DeSoto, Mississippi",DeSoto,0.73,0.57,0.36,0.09,0.78,0.61,0.4,0.1,0.77,0.63,0.41,0.11
"DeWitt, Texas",DeWitt,0.64,0.45,0.24,0.03,0.41,0.3,0.2,0.04,0.36,0.26,0.16,0.05
"Deaf Smith, Texas",Deaf Smith,0.07,0.04,0.02,0,0.05,0.03,0.02,0,0.04,0.03,0.02,0
"Dearborn, Indiana",Dearborn,0.85,0.56,0.2,0.03,0.96,0.77,0.34,0.04,0.91,0.67,0.26,0.02
"Decatur, Georgia",Decatur,0.14,0.08,0.04,0,0.11,0.07,0.03,0,0.16,0.09,0.05,0
"Decatur, Indiana",Decatur,0.73,0.4,0.12,0.02,0.88,0.52,0.16,0.03,0.89,0.51,0.16,0.02
"Decatur, Iowa",Decatur,0.18,0.07,0.03,0,0.05,0.03,0.01,0,0.05,0.03,0.01,0
"Decatur, Kansas",Decatur,0.02,0.01,0,0,0.01,0,0,0,0.01,0.01,0,0
"Decatur, Tennessee",Decatur,0.13,0.07,0.04,0,0.11,0.06,0.03,0,0.15,0.09,0.04,0
"Deer Lodge, Montana",Deer Lodge,0.11,0.07,0.03,0,0.04,0.03,0.01,0,0.07,0.05,0.02,0
"Defiance, Ohio",Defiance,0.99,0.82,0.2,0.03,0.87,0.4,0.12,0.03,0.32,0.15,0.07,0.01
"Del Norte, California",Del Norte,0.02,0.01,0.01,0,0.02,0.01,0,0,0.02,0.01,0,0
"Delaware, Indiana",Delaware,0.98,0.9,0.43,0.08,0.99,0.8,0.35,0.08,0.96,0.76,0.39,0.07
"Delaware, Iowa",Delaware,0.66,0.27,0.06,0.01,0.25,0.08,0.03,0,0.71,0.28,0.06,0
"Delaware, New York",Delaware,0.1,0.05,0.02,0,0.12,0.06,0.02,0,0.08,0.04,0.02,0
"Delaware, Ohio",Delaware,0.93,0.8,0.49,0.11,1,0.98,0.67,0.14,0.87,0.7,0.43,0.09
"Delaware, Oklahoma",Delaware,0.49,0.27,0.11,0.01,0.39,0.21,0.09,0,0.35,0.19,0.07,0
"Delaware, Pennsylvania",Delaware,1,1,0.98,0.61,1,1,0.99,0.6,1,1,1,0.56
"Delta, Colorado",Delta,0.03,0.02,0.01,0,0.02,0.01,0,0,0.04,0.02,0.01,0
"Delta, Michigan",Delta,0.1,0.06,0.03,0.01,0.1,0.06,0.03,0,0.11,0.07,0.03,0.01
"Delta, Texas",Delta,0.05,0.02,0.01,0,0.03,0.01,0,-0.01,0.04,0.02,0.01,0
"Denali, Alaska",Denali,0.63,0.22,0,0,0.99,0.93,0,0,0.99,0.98,0.33,0
"Dent, Missouri",Dent,0.08,0.04,0.01,0,0.1,0.05,0.01,0,0.04,0.02,0,0
"Denton, Texas",Denton,0.86,0.72,0.51,0.17,0.81,0.62,0.41,0.14,0.83,0.7,0.5,0.19
"Denver, Colorado",Denver,1,1,0.98,0.83,1,1,1,0.84,1,1,0.96,0.8
"Des Moines, Iowa",Des Moines,0.72,0.41,0.16,0.04,0.27,0.16,0.09,0.02,0.32,0.19,0.11,0.03
"Deschutes, Oregon",Deschutes,0.08,0.05,0.03,0,0.03,0.02,0.01,0,0.05,0.04,0.02,0
"Desha, Arkansas",Desha,0.07,0.04,0.02,0,0.05,0.03,0.01,0,0.06,0.04,0.02,0
"Deuel, Nebraska",Deuel,0.14,0.08,0.03,0,0.03,0.02,0.01,0,0.06,0.04,0.02,0
"Deuel, South Dakota",Deuel,0.13,0.05,0.01,0,0.05,0.02,0,0,0.27,0.08,0.01,0
"Dewey, Oklahoma",Dewey,0.04,0.02,0.01,0,0.02,0.01,0.01,0,0.03,0.02,0.01,0
"Dewey, South Dakota",Dewey,0.01,0,0,0,0,0,0,0,0,0,0,0
"Dickens, Texas",Dickens,0.01,0,0,0,0.01,0,0,0,0,0,0,0
"Dickenson, Virginia",Dickenson,0.15,0.08,0.03,0,0.52,0.34,0.14,0.01,0.33,0.18,0.06,0
"Dickey, North Dakota",Dickey,0.03,0.01,0,0,0.03,0.01,0,0,0.02,0.01,0,0
"Dickinson, Iowa",Dickinson,0.64,0.36,0.15,0.03,0.27,0.16,0.09,0.01,0.91,0.56,0.21,0.03
"Dickinson, Kansas",Dickinson,0.3,0.11,0.03,0,0.05,0.03,0.02,0,0.06,0.03,0.02,0
"Dickinson, Michigan",Dickinson,0.14,0.1,0.06,0.01,0.13,0.09,0.05,0.01,0.15,0.11,0.06,0.01
"Dickson, Tennessee",Dickson,0.39,0.21,0.09,0.01,0.49,0.25,0.1,0.01,0.37,0.2,0.09,0.01
"Dillingham, Alaska",Dillingham,0,0,0,-0.01,0,0,0,-0.01,0.35,0.05,0,0
"Dillon, South Carolina",Dillon,0.34,0.22,0.12,0.01,0.42,0.25,0.12,0.01,0.42,0.28,0.14,0.01
"Dimmit, Texas",Dimmit,0.68,0.49,0.25,0.03,0.58,0.37,0.19,0.03,0.23,0.17,0.11,0.02
"Dinwiddie, Virginia",Dinwiddie,0.2,0.11,0.04,0,0.4,0.24,0.08,0.01,0.26,0.14,0.05,0.01
"District of Columbia, District of Columbia",District of Columbia,1,1,1,0.95,1,1,1,0.98,1,1,1,0.97
"Divide, North Dakota",Divide,0.55,0.34,0.14,0.02,0.47,0.21,0.08,0.01,0.38,0.16,0.06,0
"Dixie, Florida",Dixie,0.02,0.01,0,0,0.04,0.02,0.01,0,0.05,0.03,0.01,0
"Dixon, Nebraska",Dixon,0.1,0.04,0.02,0,0.03,0.01,0.01,0,0.33,0.12,0.03,0
"Do\xf1a Ana, New Mexico",Do\xf1a Ana,0.12,0.08,0.05,0.01,0.08,0.06,0.04,0.01,0.09,0.07,0.04,0.01
"Doddridge, West Virginia",Doddridge,0.16,0.11,0.07,0,0.47,0.28,0.12,0.01,0.32,0.18,0.08,0.01
"Dodge, Georgia",Dodge,0.07,0.05,0.02,0,0.11,0.06,0.03,0,0.14,0.08,0.04,0
"Dodge, Minnesota",Dodge,0.74,0.37,0.09,0.01,0.61,0.25,0.06,0.01,0.97,0.55,0.1,0.01
"Dodge, Nebraska",Dodge,0.31,0.2,0.1,0.02,0.17,0.11,0.05,0.01,0.67,0.34,0.17,0.02
"Dodge, Wisconsin",Dodge,0.96,0.68,0.18,0.03,0.73,0.3,0.1,0.02,0.96,0.7,0.19,0.03
"Dolores, Colorado",Dolores,0,0,0,-0.01,0,0,0,-0.01,0,0,0,0
"Doniphan, Kansas",Doniphan,0.49,0.27,0.1,0.01,0.16,0.08,0.04,0,0.09,0.05,0.03,0
"Donley, Texas",Donley,0.02,0.01,0,0,0.01,0.01,0,0,0.01,0.01,0,0
"Dooly, Georgia",Dooly,0.1,0.06,0.03,0,0.09,0.06,0.03,0,0.12,0.07,0.04,0
"Door, Wisconsin",Door,0.35,0.19,0.08,0.01,0.29,0.14,0.06,0.01,0.37,0.19,0.08,0.01
"Dorado, Puerto Rico",Dorado,1,0.98,0.84,0.15,1,0.97,0.79,0.05,1,1,0.89,0.13
"Dorchester, Maryland",Dorchester,0.14,0.08,0.04,0,0.24,0.13,0.05,0,0.16,0.09,0.04,0
"Dorchester, South Carolina",Dorchester,0.43,0.29,0.17,0.02,0.43,0.29,0.19,0.03,0.42,0.31,0.2,0.04
"Dougherty, Georgia",Dougherty,0.49,0.41,0.3,0.09,0.49,0.39,0.29,0.1,0.49,0.41,0.32,0.11
"Douglas, Colorado",Douglas,0.47,0.4,0.27,0.09,0.51,0.43,0.32,0.08,0.49,0.38,0.24,0.08
"Douglas, Georgia",Douglas,0.97,0.89,0.67,0.14,0.98,0.86,0.62,0.08,0.99,0.94,0.73,0.17
"Douglas, Illinois",Douglas,0.44,0.21,0.08,0.01,0.35,0.16,0.07,0.01,0.22,0.12,0.05,0
"Douglas, Kansas",Douglas,0.88,0.7,0.34,0.06,0.35,0.18,0.11,0.04,0.35,0.21,0.11,0.04
"Douglas, Minnesota",Douglas,0.44,0.24,0.1,0.01,0.33,0.17,0.07,0.01,0.47,0.25,0.09,0.01
"Douglas, Missouri",Douglas,0.14,0.05,0.01,0,0.12,0.04,0,0,0.02,0.01,0,0
"Douglas, Nebraska",Douglas,1,1,0.9,0.51,0.99,0.93,0.72,0.44,1,1,0.99,0.54
"Douglas, Nevada",Douglas,0.12,0.09,0.05,0.01,0.08,0.05,0.03,0,0.11,0.08,0.04,0
"Douglas, Oregon",Douglas,0.02,0.01,0,0,0.02,0.01,0.01,0,0.02,0.01,0,0
"Douglas, South Dakota",Douglas,0.05,0.02,0.01,0,0.01,0,0,-0.01,0.03,0.01,0,0
"Douglas, Washington",Douglas,0.08,0.05,0.03,0,0.03,0.02,0.01,0,0.1,0.05,0.03,0
"Douglas, Wisconsin",Douglas,0.15,0.09,0.05,0.01,0.14,0.08,0.05,0.01,0.22,0.13,0.06,0.01
