name,county_name,2014_fraction_above_65,2014_fraction_above_75,2014_fraction_above_85,2014_fraction_above_95,2015_fraction_above_65,2015_fraction_above_75,2015_fraction_above_85,2015_fraction_above_95,2016_fraction_above_65,2016_fraction_above_75,2016_fraction_above_85,2016_fraction_above_95
"Allegheny, Pennsylvania",Allegheny,1,1,0.95,0.34,1,1,0.98,0.44,1,0.99,0.95,0.41
"Allen, Indiana",Allen,1,0.99,0.81,0.25,0.99,0.92,0.64,0.22,0.94,0.77,0.52,0.17
"Allen, Kansas",Allen,0.13,0.06,0.03,0,0.08,0.05,0.03,0,0.06,0.04,0.02,0
"Allen, Kentucky",Allen,0.14,0.06,0.02,0,0.49,0.16,0.03,0,0.16,0.07,0.02,0
"Allen, Louisiana",Allen,0.1,0.06,0.02,0,0.1,0.05,0.03,0,0.14,0.09,0.03,0
"Allen, Ohio",Allen,1,0.98,0.6,0.11,0.99,0.94,0.46,0.1,0.8,0.52,0.27,0.07
"Allendale, South Carolina",Allendale,0.07,0.04,0.02,0,0.09,0.05,0.03,0,0.1,0.07,0.03,0
"Alpena, Michigan",Alpena,0.16,0.1,0.05,0.01,0.16,0.09,0.04,0.01,0.26,0.13,0.06,0.01
"Alpine, California",Alpine,0,0,0,-0.01,0,0,-0.01,-0.01,0,0,0,-0.01
"Amador, California",Amador,0.06,0.04,0.02,0,0.06,0.04,0.02,0,0.07,0.05,0.03,0
"Amelia, Virginia",Amelia,0.11,0.04,0.01,-0.01,0.32,0.15,0.03,0,0.15,0.06,0.01,0
"Amherst, Virginia",Amherst,0.12,0.08,0.04,0,0.33,0.2,0.11,0.01,0.15,0.11,0.05,0
"Amite, Mississippi",Amite,0.09,0.03,0.01,0,0.06,0.03,0.01,0,0.12,0.06,0.02,0
"Anchorage, Alaska",Anchorage,0.27,0.2,0.14,0.05,0.96,0.51,0.18,0.05,0.87,0.31,0.13,0.05
"Anderson, Kansas",Anderson,0.03,0.02,0.01,0,0.02,0.01,0.01,0,0.02,0.01,0,0
"Anderson, Kentucky",Anderson,0.3,0.17,0.07,0,0.79,0.49,0.14,0.02,0.5,0.29,0.1,0.01
"Anderson, South Carolina",Anderson,0.74,0.56,0.31,0.03,0.71,0.51,0.27,0.02,0.78,0.61,0.34,0.04
"Anderson, Tennessee",Anderson,0.6,0.47,0.27,0.04,0.77,0.69,0.53,0.08,0.67,0.56,0.33,0.05
"Anderson, Texas",Anderson,0.17,0.08,0.04,0,0.11,0.06,0.03,0,0.13,0.07,0.04,0.01
"Andrew, Missouri",Andrew,0.52,0.33,0.14,0,0.2,0.11,0.05,0,0.17,0.09,0.03,0
"Andrews, Texas",Andrews,0.54,0.28,0.11,0.02,0.15,0.09,0.04,0.01,0.12,0.08,0.04,0.01
"Androscoggin, Maine",Androscoggin,0.58,0.39,0.19,0.04,0.66,0.44,0.23,0.03,0.62,0.41,0.2,0.05
"Angelina, Texas",Angelina,0.21,0.14,0.08,0.02,0.17,0.11,0.07,0.01,0.22,0.15,0.09,0.02
"Anne Arundel, Maryland",Anne Arundel,0.98,0.91,0.74,0.27,0.99,0.98,0.85,0.36,0.99,0.98,0.81,0.27
"Anoka, Minnesota",Anoka,1,0.98,0.83,0.25,0.99,0.9,0.62,0.16,1,0.99,0.76,0.21
"Anson, North Carolina",Anson,0.17,0.1,0.04,0,0.17,0.08,0.04,0,0.2,0.11,0.05,0
"Antelope, Nebraska",Antelope,0.05,0.02,0.01,0,0.02,0.01,0,0,0.13,0.04,0.01,0
"Antrim, Michigan",Antrim,0.28,0.13,0.04,0,0.21,0.1,0.04,0,0.32,0.14,0.04,0
"Apache, Arizona",Apache,0.02,0.01,0,0,0.01,0.01,0,0,0.02,0.01,0,0
"Appanoose, Iowa",Appanoose,0.33,0.15,0.05,0,0.08,0.04,0.02,0,0.14,0.07,0.03,0
"Appling, Georgia",Appling,0.1,0.05,0.02,0,0.12,0.06,0.03,0,0.15,0.09,0.04,0
"Appomattox, Virginia",Appomattox,0.08,0.03,0.01,0,0.31,0.14,0.03,0,0.1,0.04,0.02,0
"Aransas, Texas",Aransas,0.2,0.16,0.1,0.01,0.19,0.16,0.1,0.01,0.18,0.16,0.12,0.01
"Arapahoe, Colorado",Arapahoe,0.45,0.38,0.28,0.19,0.47,0.37,0.3,0.19,0.44,0.35,0.26,0.18
"Archer, Texas",Archer,0.08,0.04,0.01,-0.01,0.05,0.02,0,0,0.04,0.03,0.01,0
"Archuleta, Colorado",Archuleta,0.01,0.01,0,0,0,0,0,0,0.02,0.01,0,0
"Arecibo, Puerto Rico",Arecibo,0.67,0.56,0.38,0.05,0.61,0.48,0.33,0.03,0.73,0.61,0.39,0.06
"Arenac, Michigan",Arenac,0.31,0.17,0.07,0,0.25,0.12,0.05,0,0.38,0.19,0.06,0
"Arkansas, Arkansas",Arkansas,0.06,0.04,0.02,0,0.06,0.03,0.01,0,0.08,0.04,0.02,0
"Arlington, Virginia",Arlington,1,1,1,0.95,1,1,1,0.99,1,1,1,0.96
"Armstrong, Pennsylvania",Armstrong,0.72,0.42,0.13,0,0.76,0.47,0.16,0.01,0.61,0.39,0.15,0.01
"Armstrong, Texas",Armstrong,0.04,0.01,0,0,0,0,0,0,0,0,0,0
"Aroostook, Maine",Aroostook,0.05,0.03,0.01,0,0.06,0.03,0.01,0,0.08,0.04,0.01,0
"Arroyo, Puerto Rico",Arroyo,0.73,0.62,0.43,0.07,0.75,0.67,0.42,0.06,0.79,0.7,0.52,0.06
"Arthur, Nebraska",Arthur,0,0,0,-0.01,0,0,0,-0.01,0,0,0,-0.01
"Ascension, Louisiana",Ascension,0.93,0.83,0.63,0.13,0.82,0.7,0.52,0.08,0.91,0.79,0.6,0.16
"Ashe, North Carolina",Ashe,0.08,0.04,0.02,0,0.35,0.16,0.06,0,0.2,0.1,0.04,0
"Ashland, Ohio",Ashland,0.87,0.56,0.17,0.02,0.97,0.81,0.24,0.02,0.77,0.47,0.15,0.02
"Ashland, Wisconsin",Ashland,0.07,0.04,0.02,0,0.05,0.03,0.01,0,0.12,0.06,0.02,0
"Ashley, Arkansas",Ashley,0.07,0.04,0.02,0,0.06,0.03,0.02,0,0.08,0.05,0.02,0
"Ashtabula, Ohio",Ashtabula,0.81,0.53,0.24,0.04,0.88,0.53,0.25,0.04,0.7,0.45,0.23,0.03
"Asotin, Washington",Asotin,0.03,0.02,0.01,0,0.02,0.02,0.01,0,0.03,0.02,0.01,0
"Assumption, Louisiana",Assumption,0.42,0.26,0.12,0.01,0.25,0.16,0.08,0,0.35,0.23,0.13,0.01
"Atascosa, Texas",Atascosa,0.62,0.35,0.16,0.01,0.63,0.31,0.13,0.02,0.35,0.23,0.13,0.03
"Atchison, Kansas",Atchison,0.38,0.16,0.05,0.01,0.12,0.06,0.03,0.01,0.08,0.04,0.02,0
"Atchison, Missouri",Atchison,0.14,0.06,0.02,0,0.04,0.02,0.01,0,0.04,0.02,0.01,0
"Athens, Ohio",Athens,0.16,0.09,0.05,0,0.45,0.24,0.1,0.01,0.44,0.26,0.11,0.01
"Atkinson, Georgia",Atkinson,0.04,0.02,0.01,0,0.05,0.03,0.01,0,0.05,0.03,0.02,0
"Atlantic, New Jersey",Atlantic,0.63,0.51,0.33,0.08,0.88,0.68,0.47,0.12,0.79,0.61,0.4,0.1
"Atoka, Oklahoma",Atoka,0.07,0.03,0.01,0,0.05,0.02,0.01,0,0.08,0.04,0.02,0
"Attala, Mississippi",Attala,0.08,0.04,0.02,0,0.05,0.03,0.01,0,0.11,0.06,0.02,0
"Audrain, Missouri",Audrain,0.25,0.11,0.04,0.01,0.15,0.08,0.04,0.01,0.12,0.07,0.03,0
"Audubon, Iowa",Audubon,0.23,0.07,0.02,0,0.04,0.02,0.01,0,0.56,0.14,0.02,0
"Auglaize, Ohio",Auglaize,0.96,0.79,0.31,0.03,0.95,0.61,0.16,0.03,0.55,0.26,0.1,0.02
"Augusta, Virginia",Augusta,0.15,0.09,0.04,0,0.43,0.25,0.09,0.01,0.18,0.11,0.05,0
"Aurora, South Dakota",Aurora,0.03,0.01,0,0,0.01,0,0,-0.01,0.04,0.01,0,-0.01
"Austin, Texas",Austin,0.25,0.11,0.04,0,0.17,0.08,0.04,0,0.19,0.1,0.04,0
"Autauga, Alabama",Autauga,0.28,0.17,0.07,0,0.25,0.15,0.06,0,0.35,0.23,0.11,0.01
"Avery, North Carolina",Avery,0.24,0.14,0.06,0,0.51,0.32,0.12,0,0.35,0.21,0.09,0.01
"Avoyelles, Louisiana",Avoyelles,0.14,0.07,0.03,0,0.13,0.07,0.03,0,0.2,0.12,0.05,0
"Baca, Colorado",Baca,0,0,0,0,0,0,0,0,0,0,0,0
"Bacon, Georgia",Bacon,0.1,0.06,0.02,0,0.11,0.06,0.03,0,0.14,0.09,0.04,0
"Bailey, Texas",Bailey,0.11,0.04,0.01,0,0.04,0.02,0.01,0,0.05,0.03,0.01,0
"Baker, Florida",Baker,0.07,0.04,0.01,0,0.09,0.06,0.02,0,0.12,0.08,0.03,0
"Baker, Georgia",Baker,0.05,0.02,0,-0.01,0.03,0.01,0,-0.01,0.05,0.02,0,0
"Baker, Oregon",Baker,0.01,0.01,0,0,0,0,0,0,0.01,0.01,0,0
"Baldwin, Alabama",Baldwin,0.38,0.27,0.15,0.01,0.34,0.23,0.13,0.01,0.41,0.31,0.17,0.02
"Baldwin, Georgia",Baldwin,0.43,0.28,0.14,0.03,0.47,0.29,0.16,0.03,0.48,0.34,0.17,0.03
"Ballard, Kentucky",Ballard,0.65,0.29,0.09,0.01,0.83,0.47,0.13,0.01,0.31,0.16,0.07,0.01
"Baltimore, Maryland",Baltimore,1,1,1,0.94,1,1,1,0.96,1,1,1,0.95
"Bamberg, South Carolina",Bamberg,0.14,0.08,0.04,0,0.14,0.09,0.04,0,0.18,0.11,0.06,0.01
"Bandera, Texas",Bandera,0.1,0.04,0.01,0,0.06,0.03,0,0,0.09,0.05,0.02,0
"Banks, Georgia",Banks,0.3,0.14,0.05,0,0.34,0.14,0.05,0,0.41,0.2,0.07,0
"Banner, Nebraska",Banner,0,0,0,-0.01,0,0,0,-0.01,0,0,0,-0.01
"Bannock, Idaho",Bannock,0.13,0.1,0.06,0.01,0.06,0.05,0.03,0.01,0.17,0.12,0.07,0.01
"Baraga, Michigan",Baraga,0.05,0.03,0.02,0,0.05,0.03,0.01,0,0.06,0.04,0.02,0
"Barber, Kansas",Barber,0.02,0.01,0,0,0.01,0,0,0,0.01,0.01,0,0
"Barbour, Alabama",Barbour,0.12,0.07,0.03,0,0.08,0.05,0.03,0,0.12,0.08,0.04,0
"Barbour, West Virginia",Barbour,0.22,0.1,0.03,0,0.35,0.18,0.06,0,0.35,0.17,0.05,0
"Barceloneta, Puerto Rico",Barceloneta,0.86,0.78,0.59,0.19,0.91,0.78,0.61,0.11,0.95,0.88,0.69,0.18
"Barnes, North Dakota",Barnes,0.06,0.03,0.01,0,0.08,0.04,0.01,0,0.07,0.04,0.01,0
"Barnstable, Massachusetts",Barnstable,0.74,0.65,0.46,0.05,0.82,0.73,0.55,0.08,0.86,0.79,0.61,0.07
"Barnwell, South Carolina",Barnwell,0.23,0.13,0.07,0,0.24,0.14,0.07,0.01,0.3,0.19,0.09,0.01
"Barranquitas, Puerto Rico",Barranquitas,0.91,0.81,0.43,0.01,0.85,0.67,0.23,0,0.93,0.81,0.44,0.01
